,UID,country,province,date,c_confirmed,pd_confirmed,c_death,pd_death,c_recovered,pd_recovered
0,4,Afghanistan,Afghanistan,1/22/20,0,0,0,0,0,0
1,4,Afghanistan,Afghanistan,1/23/20,0,0,0,0,0,0
2,4,Afghanistan,Afghanistan,1/24/20,0,0,0,0,0,0
3,4,Afghanistan,Afghanistan,1/25/20,0,0,0,0,0,0
4,4,Afghanistan,Afghanistan,1/26/20,0,0,0,0,0,0
5,4,Afghanistan,Afghanistan,1/27/20,0,0,0,0,0,0
6,4,Afghanistan,Afghanistan,1/28/20,0,0,0,0,0,0
7,4,Afghanistan,Afghanistan,1/29/20,0,0,0,0,0,0
8,4,Afghanistan,Afghanistan,1/30/20,0,0,0,0,0,0
9,4,Afghanistan,Afghanistan,1/31/20,0,0,0,0,0,0
10,4,Afghanistan,Afghanistan,2/1/20,0,0,0,0,0,0
11,4,Afghanistan,Afghanistan,2/2/20,0,0,0,0,0,0
12,4,Afghanistan,Afghanistan,2/3/20,0,0,0,0,0,0
13,4,Afghanistan,Afghanistan,2/4/20,0,0,0,0,0,0
14,4,Afghanistan,Afghanistan,2/5/20,0,0,0,0,0,0
15,4,Afghanistan,Afghanistan,2/6/20,0,0,0,0,0,0
16,4,Afghanistan,Afghanistan,2/7/20,0,0,0,0,0,0
17,4,Afghanistan,Afghanistan,2/8/20,0,0,0,0,0,0
18,4,Afghanistan,Afghanistan,2/9/20,0,0,0,0,0,0
19,4,Afghanistan,Afghanistan,2/10/20,0,0,0,0,0,0
20,4,Afghanistan,Afghanistan,2/11/20,0,0,0,0,0,0
21,4,Afghanistan,Afghanistan,2/12/20,0,0,0,0,0,0
22,4,Afghanistan,Afghanistan,2/13/20,0,0,0,0,0,0
23,4,Afghanistan,Afghanistan,2/14/20,0,0,0,0,0,0
24,4,Afghanistan,Afghanistan,2/15/20,0,0,0,0,0,0
25,4,Afghanistan,Afghanistan,2/16/20,0,0,0,0,0,0
26,4,Afghanistan,Afghanistan,2/17/20,0,0,0,0,0,0
27,4,Afghanistan,Afghanistan,2/18/20,0,0,0,0,0,0
28,4,Afghanistan,Afghanistan,2/19/20,0,0,0,0,0,0
29,4,Afghanistan,Afghanistan,2/20/20,0,0,0,0,0,0
30,4,Afghanistan,Afghanistan,2/21/20,0,0,0,0,0,0
31,4,Afghanistan,Afghanistan,2/22/20,0,0,0,0,0,0
32,4,Afghanistan,Afghanistan,2/23/20,0,0,0,0,0,0
33,4,Afghanistan,Afghanistan,2/24/20,1,1,0,0,0,0
34,4,Afghanistan,Afghanistan,2/25/20,1,0,0,0,0,0
35,4,Afghanistan,Afghanistan,2/26/20,1,0,0,0,0,0
36,4,Afghanistan,Afghanistan,2/27/20,1,0,0,0,0,0
37,4,Afghanistan,Afghanistan,2/28/20,1,0,0,0,0,0
38,4,Afghanistan,Afghanistan,2/29/20,1,0,0,0,0,0
39,4,Afghanistan,Afghanistan,3/1/20,1,0,0,0,0,0
40,4,Afghanistan,Afghanistan,3/2/20,1,0,0,0,0,0
41,4,Afghanistan,Afghanistan,3/3/20,1,0,0,0,0,0
42,4,Afghanistan,Afghanistan,3/4/20,1,0,0,0,0,0
43,4,Afghanistan,Afghanistan,3/5/20,1,0,0,0,0,0
44,4,Afghanistan,Afghanistan,3/6/20,1,0,0,0,0,0
45,4,Afghanistan,Afghanistan,3/7/20,1,0,0,0,0,0
46,4,Afghanistan,Afghanistan,3/8/20,4,3,0,0,0,0
47,4,Afghanistan,Afghanistan,3/9/20,4,0,0,0,0,0
48,4,Afghanistan,Afghanistan,3/10/20,5,1,0,0,0,0
49,4,Afghanistan,Afghanistan,3/11/20,7,2,0,0,0,0
50,4,Afghanistan,Afghanistan,3/12/20,7,0,0,0,0,0
51,4,Afghanistan,Afghanistan,3/13/20,7,0,0,0,0,0
52,4,Afghanistan,Afghanistan,3/14/20,11,4,0,0,0,0
53,4,Afghanistan,Afghanistan,3/15/20,16,5,0,0,0,0
54,4,Afghanistan,Afghanistan,3/16/20,21,5,0,0,1,1
55,4,Afghanistan,Afghanistan,3/17/20,22,1,0,0,1,0
56,4,Afghanistan,Afghanistan,3/18/20,22,0,0,0,1,0
57,4,Afghanistan,Afghanistan,3/19/20,22,0,0,0,1,0
58,4,Afghanistan,Afghanistan,3/20/20,24,2,0,0,1,0
59,4,Afghanistan,Afghanistan,3/21/20,24,0,0,0,1,0
60,4,Afghanistan,Afghanistan,3/22/20,40,16,1,1,1,0
61,4,Afghanistan,Afghanistan,3/23/20,40,0,1,0,1,0
62,4,Afghanistan,Afghanistan,3/24/20,74,34,1,0,1,0
63,4,Afghanistan,Afghanistan,3/25/20,84,10,2,1,2,1
64,4,Afghanistan,Afghanistan,3/26/20,94,10,4,2,2,0
65,4,Afghanistan,Afghanistan,3/27/20,110,16,4,0,2,0
66,4,Afghanistan,Afghanistan,3/28/20,110,0,4,0,2,0
